ticker,chinese_name,Total_Trades,Correct_Trades,Accuracy_Rate,Avg_Price_Change,Price_Volatility
2308.TW,台達電,25,14,56.0,6.05,11.6
2317.TW,鴻海,25,14,56.0,3.6,12.95
2327.TW,國巨,25,16,64.0,3.65,12.5
2330.TW,台積電,25,19,76.0,4.67,6.78
2412.TW,中華電,25,15,60.0,0.42,2.13
2454.TW,聯發科,25,15,60.0,2.68,9.83
2881.TW,富邦金,25,19,76.0,1.73,4.05
AAPL,蘋果,25,14,56.0,1.69,6.26
AMZN,亞馬遜,25,12,48.0,2.18,6.99
GOOGL,Alphabet(谷歌),25,20,80.0,4.0,7.79
META,Meta(臉書),25,17,68.0,3.29,9.33
MSFT,微軟,25,12,48.0,0.71,6.06
NVDA,輝達,25,16,64.0,6.37,13.79
TSLA,特斯拉,25,10,40.0,3.34,16.4
